book_title,chapter,avg_anger_sentiment,avg_anticipation_sentiment,avg_disgust_sentiment,avg_fear_sentiment,avg_joy_sentiment,avg_sadness_sentiment,avg_surprise_sentiment,avg_trust_sentiment
Harry Potter and the Philosopher's Stone,13,0.001824960753532182,9.811616954474099e-4,5.10204081632653e-4,8.045525902668759e-4,6.671899529042387e-4,0.0016875981161695447,4.905808477237049e-4,9.419152276295134e-4
Harry Potter and the Philosopher's Stone,14,0.0010281385281385282,7.395382395382396e-4,1.984126984126984e-4,0.0010281385281385282,6.132756132756134e-4,0.0013347763347763349,3.427128427128427e-4,8.297258297258297e-4
Harry Potter and the Philosopher's Stone,15,0.001720747295968535,8.235004916420846e-4,6.760078662733529e-4,0.001327433628318584,4.916420845624386e-4,0.0018928220255653883,5.285152409046215e-4,9.218289085545724e-4
Harry Potter and the Philosopher's Stone,16,0.0015096618357487923,6.817827645317126e-4,3.2141187470780734e-4,8.376188249961041e-4,4.285491662770766e-4,0.0015291413433068412,4.577684276141499e-4,7.791803023219573e-4
Harry Potter and the Philosopher's Stone,17,0.0019213174748398901,0.001086459286367795,6.633119853613907e-4,0.0011665141811527905,9.720951509606588e-4,0.0020013723696248853,7.204940530649588e-4,0.001269441903019213
Harry Potter and the Chamber of Secrets,18,0.002114113530326594,0.001312208398133748,8.505054432348366e-4,0.0011421073094867809,8.262052877138415e-4,0.002381415241057543,8.262052877138414e-4,0.0011664074650077762
Harry Potter and the Chamber of Secrets,19,0.002450122506125306,7.656632831641582e-4,9.406720336016801e-4,0.0015094504725236262,6.781589079453974e-4,0.0027345117255862792,7.000350017500875e-4,0.0014219460973048654
Harry Potter and the Chamber of Secrets,20,0.0015318627450980392,7.520053475935829e-4,5.98819073083779e-4,8.912655971479501e-4,6.266711229946524e-4,0.0016711229946524064,4.317067736185384e-4,9.330436720142603e-4
Harry Potter and the Chamber of Secrets,21,0.0013124783061437,9.328358208955225e-4,5.206525511975009e-4,8.026726830961471e-4,7.375911141964596e-4,0.0013992537313432837,6.61662617146824e-4,0.0010304581742450539
Harry Potter and the Chamber of Secrets,22,0.0017020192663949611,8.33642089662838e-4,7.294368284549834e-4,0.001053630974434976,6.020748425342719e-4,0.001806224527602816,6.252315672471286e-4,9.84160800296406e-4
Harry Potter and the Chamber of Secrets,23,0.0014802631578947369,7.8125e-4,5.071271929824562e-4,7.8125e-4,6.853070175438596e-4,0.0016858552631578948,0.00045230263157894736,9.86842105263158e-4
Harry Potter and the Chamber of Secrets,24,0.0016776677667766776,8.663366336633663e-4,6.738173817381738e-4,7.563256325632563e-4,7.013201320132013e-4,0.0015676567656765675,5.363036303630363e-4,0.0011688668866886688
Harry Potter and the Chamber of Secrets,25,0.0016484765802637562,8.95293315143247e-4,8.668713051386993e-4,0.0012363574351978172,6.963392451114143e-4,0.0019895407003183265,4.973851750795816e-4,9.805593451568896e-4
Harry Potter and the Chamber of Secrets,26,0.0012040280210157618,5.59447363300253e-4,6.324187585133294e-4,7.905234481416618e-4,3.6485697606538237e-4,0.0012040280210157618,4.013426736719206e-4,9.486281377699942e-4
Harry Potter and the Chamber of Secrets,27,0.0018910741301059,6.855143721633888e-4,7.091527987897125e-4,0.0013473903177004538,4.491301059001513e-4,0.0020329046898638426,5.909606656580937e-4,0.0010991868381240546
Harry Potter and the Chamber of Secrets,28,0.001532016008004002,6.565782891445723e-4,6.148907787226947e-4,0.001198515924628981,3.7518759379689845e-4,0.0016153910288477574,5.210938802734701e-4,8.754377188594296e-4
Harry Potter and the Chamber of Secrets,29,0.0016517279615597858,0.0011088523378303457,6.583810755867676e-4,0.0010973017926446129,5.544261689151729e-4,0.0018596377749029757,5.659767141009055e-4,8.316392533727592e-4
Harry Potter and the Chamber of Secrets,30,0.0014886363636363636,0.0010113636363636362,6.931818181818182e-4,7.954545454545455e-4,8.977272727272727e-4,0.0017159090909090909,0.0010795454545454546,0.0013068181818181818
Harry Potter and the Chamber of Secrets,31,0.001226427115188583,0.0010352956167176352,4.6190112130479105e-4,0.001226427115188583,6.21177370030581e-4,0.001321992864424057,5.89322120285423e-4,0.001226427115188583
Harry Potter and the Chamber of Secrets,32,0.001729779017378245,6.704569834799399e-4,5.497747264535507e-4,0.0010593220338983053,5.631838661231496e-4,0.0017297790173782452,4.827290281055567e-4,9.25230637202317e-4
Harry Potter and the Chamber of Secrets,33,0.0015225066195939984,7.833186231244484e-4,6.509267431597529e-4,0.0011473962930273608,3.861429832303619e-4,0.0016879964695498677,4.0820829655781115e-4,9.488084730803177e-4
Harry Potter and the Chamber of Secrets,34,0.002251940133037694,0.0011086474501108647,8.314855875831487e-4,0.0013280672579453067,9.931633407243162e-4,0.002332779009608278,0.0010740022172949003,0.0012125831485587583
Harry Potter and the Chamber of Secrets,35,0.0019010138740661688,8.671291355389541e-4,9.004802561366062e-4,0.001183964781216649,9.838580576307363e-4,0.002017742796157951,7.003735325506938e-4,0.0018343116328708644
Harry Potter and the Prisoner of Azkaban,36,0.0017417478354978355,0.001471185064935065,7.271374458874459e-4,0.0011329816017316017,8.793290043290044e-4,0.0018262987012987013,8.285984848484849e-4,0.0012006222943722945
Harry Potter and the Prisoner of Azkaban,37,0.001993129375162043,6.157635467980295e-4,9.074410163339384e-4,9.722582317863626e-4,7.129893699766659e-4,0.0020093336790251493,4.5372050816696913e-4,0.0017176562094892403
Harry Potter and the Prisoner of Azkaban,38,0.0018697191139529573,8.706325645124458e-4,6.279972596483214e-4,9.134505594884677e-4,7.849965745604019e-4,0.002497716373601279,7.279059145923727e-4,0.0010419045444165333
Harry Potter and the Prisoner of Azkaban,39,0.0013589618021547503,9.671890303623898e-4,6.856023506366307e-4,9.794319294809011e-4,8.202742409402547e-4,0.0014691478942213518,7.100881488736532e-4,9.304603330068561e-4
Harry Potter and the Prisoner of Azkaban,40,0.0016909864721082232,7.599939200486395e-4,5.794953640370877e-4,9.784921720626236e-4,6.459948320413437e-4,0.001947484420124639,5.509955920352637e-4,0.0012729898160814715
Harry Potter and the Prisoner of Azkaban,41,0.0016078372719114569,0.001121746933891714,7.104397247980856e-4,0.0010656595871971282,6.076129225246785e-4,0.0017574035297636852,7.197876159138498e-4,0.001187182171702064
Harry Potter and the Prisoner of Azkaban,42,0.0011789672247111528,8.694883282244753e-4,7.221174251355812e-4,0.001149493044093374,5.600094317377976e-4,0.001355812308417826,6.926432445178024e-4,0.0014737090308889413
Harry Potter and the Prisoner of Azkaban,43,0.001392203659506762,8.576968973747017e-4,7.209626093874304e-4,7.333929992044551e-4,7.333929992044551e-4,0.0017651153540175022,6.090891010342084e-4,0.00128033015115354
Harry Potter and the Prisoner of Azkaban,44,0.0015568549153831526,8.200228180262407e-4,5.942194333523484e-4,9.269823160296634e-4,4.872599353489257e-4,0.0016756988020536223,5.823350446853014e-4,0.0013429359193763073
Harry Potter and the Prisoner of Azkaban,45,0.0013873179697440974,9.36660540082002e-4,6.450586738300579e-4,9.720062208398134e-4,7.687685564823979e-4,0.0018644846599745512,6.273858334511522e-4,0.0011398982044394175
Harry Potter and the Prisoner of Azkaban,46,0.0013438451890342234,6.719225945171117e-4,5.823329152481634e-4,9.630890521411935e-4,5.935316251567819e-4,0.0014782297079376457,4.927432359792151e-4,0.0011198709908618527
Harry Potter and the Prisoner of Azkaban,47,0.0017495299770210987,0.0012533946104031752,4.569667850428243e-4,8.355964069354503e-4,8.61708794652183e-4,0.0020367662419051597,6.005849174848548e-4,0.0014361813244203052
Harry Potter and the Prisoner of Azkaban,48,0.0015753828032979977,7.950530035335689e-4,3.8280329799764433e-4,7.06713780918728e-4,7.06713780918728e-4,0.0016342756183745583,5.447585394581861e-4,0.0012073027090694936
Harry Potter and the Prisoner of Azkaban,49,0.0018070112034694616,8.244488615829419e-4,7.453921214311529e-4,9.599747018431515e-4,5.308095410191543e-4,0.0018521864835561981,4.2916516082399715e-4,8.244488615829419e-4
