book_title,chapter,emotion,sentiment
Harry Potter and the Philosopher's Stone,16,Surprise,4.577684276141499e-4
Harry Potter and the Philosopher's Stone,16,Trust,7.791803023219573e-4
Harry Potter and the Philosopher's Stone,17,Anger,0.0019213174748398901
Harry Potter and the Philosopher's Stone,17,Anticipation,0.001086459286367795
Harry Potter and the Philosopher's Stone,17,Disgust,6.633119853613907e-4
Harry Potter and the Philosopher's Stone,17,Fear,0.0011665141811527905
Harry Potter and the Philosopher's Stone,17,Joy,9.720951509606588e-4
Harry Potter and the Philosopher's Stone,17,Sadness,0.0020013723696248853
Harry Potter and the Philosopher's Stone,17,Surprise,7.204940530649588e-4
Harry Potter and the Philosopher's Stone,17,Trust,0.001269441903019213
Harry Potter and the Chamber of Secrets,18,Anger,0.002114113530326594
Harry Potter and the Chamber of Secrets,18,Anticipation,0.001312208398133748
Harry Potter and the Chamber of Secrets,18,Disgust,8.505054432348366e-4
Harry Potter and the Chamber of Secrets,18,Fear,0.0011421073094867809
Harry Potter and the Chamber of Secrets,18,Joy,8.262052877138415e-4
Harry Potter and the Chamber of Secrets,18,Sadness,0.002381415241057543
Harry Potter and the Chamber of Secrets,18,Surprise,8.262052877138414e-4
Harry Potter and the Chamber of Secrets,18,Trust,0.0011664074650077762
Harry Potter and the Chamber of Secrets,19,Anger,0.002450122506125306
Harry Potter and the Chamber of Secrets,19,Anticipation,7.656632831641582e-4
Harry Potter and the Chamber of Secrets,19,Disgust,9.406720336016801e-4
Harry Potter and the Chamber of Secrets,19,Fear,0.0015094504725236262
Harry Potter and the Chamber of Secrets,19,Joy,6.781589079453974e-4
Harry Potter and the Chamber of Secrets,19,Sadness,0.0027345117255862792
Harry Potter and the Chamber of Secrets,19,Surprise,7.000350017500875e-4
Harry Potter and the Chamber of Secrets,19,Trust,0.0014219460973048654
Harry Potter and the Chamber of Secrets,20,Anger,0.0015318627450980392
Harry Potter and the Chamber of Secrets,20,Anticipation,7.520053475935829e-4
Harry Potter and the Chamber of Secrets,20,Disgust,5.98819073083779e-4
Harry Potter and the Chamber of Secrets,20,Fear,8.912655971479501e-4
Harry Potter and the Chamber of Secrets,20,Joy,6.266711229946524e-4
Harry Potter and the Chamber of Secrets,20,Sadness,0.0016711229946524064
Harry Potter and the Chamber of Secrets,20,Surprise,4.317067736185384e-4
Harry Potter and the Chamber of Secrets,20,Trust,9.330436720142603e-4
Harry Potter and the Chamber of Secrets,21,Anger,0.0013124783061437
Harry Potter and the Chamber of Secrets,21,Anticipation,9.328358208955225e-4
Harry Potter and the Chamber of Secrets,21,Disgust,5.206525511975009e-4
Harry Potter and the Chamber of Secrets,21,Fear,8.026726830961471e-4
Harry Potter and the Chamber of Secrets,21,Joy,7.375911141964596e-4
Harry Potter and the Chamber of Secrets,21,Sadness,0.0013992537313432837
Harry Potter and the Chamber of Secrets,21,Surprise,6.61662617146824e-4
Harry Potter and the Chamber of Secrets,21,Trust,0.0010304581742450539
Harry Potter and the Chamber of Secrets,22,Anger,0.0017020192663949611
Harry Potter and the Chamber of Secrets,22,Anticipation,8.33642089662838e-4
Harry Potter and the Chamber of Secrets,22,Disgust,7.294368284549834e-4
Harry Potter and the Chamber of Secrets,22,Fear,0.001053630974434976
Harry Potter and the Chamber of Secrets,22,Joy,6.020748425342719e-4
Harry Potter and the Chamber of Secrets,22,Sadness,0.001806224527602816
Harry Potter and the Chamber of Secrets,22,Surprise,6.252315672471286e-4
Harry Potter and the Chamber of Secrets,22,Trust,9.84160800296406e-4
Harry Potter and the Chamber of Secrets,23,Anger,0.0014802631578947369
Harry Potter and the Chamber of Secrets,23,Anticipation,7.8125e-4
Harry Potter and the Chamber of Secrets,23,Disgust,5.071271929824562e-4
Harry Potter and the Chamber of Secrets,23,Fear,7.8125e-4
Harry Potter and the Chamber of Secrets,23,Joy,6.853070175438596e-4
Harry Potter and the Chamber of Secrets,23,Sadness,0.0016858552631578948
Harry Potter and the Chamber of Secrets,23,Surprise,0.00045230263157894736
Harry Potter and the Chamber of Secrets,23,Trust,9.86842105263158e-4
Harry Potter and the Chamber of Secrets,24,Anger,0.0016776677667766776
Harry Potter and the Chamber of Secrets,24,Anticipation,8.663366336633663e-4
